Date,Reach,Impressions,Link clicks,Landing page views,Post engagement,3-second video plays,ThruPlays,Post comments,Post saves,Post reactions,Post shares,Video plays at 50%,Leads,Amount Spent,Country,Objective
31/12/2021,82607,108515,5,,3671,,,31,7,2601,20,,,442.86,Egypt,CPE
31/12/2021,63441,68432,51,6,3490,3397,325,,3,39,,565,,94.85,Egypt,CPC
31/12/2021,16064,16850,28,17,50,,,1,1,17,3,,,72.3,Egypt,CPLPV
31/12/2021,18664,21406,12,1,19,,,2,,5,,,,43.62,Egypt,Remarketing
31/12/2021,159934,166541,268,105,355,,,,13,58,16,,,771.16,KSA,CPC
31/12/2021,310336,315415,927,95,24503,23466,2271,21,6,77,6,5836,1,260.15,Egypt,CPMR
31/12/2021,4994,5244,8,5,18,,,,1,8,1,,1,44.28,Egypt,CPA
31/12/2021,6062,6181,11,9,17,,,,1,5,,,,44.82,Egypt,CPA
31/12/2021,74625,75846,14,3,4706,4682,340,,1,9,,528,,207.21,KSA,CPMR
30/12/2021,53360,55904,85,13,3014,2891,282,,4,33,1,493,,98.36,Egypt,CPC
30/12/2021,14708,15247,21,14,41,,,1,3,13,3,,,89.2,Egypt,CPLPV
30/12/2021,16516,18439,14,4,25,,,,2,9,,,,44.84,Egypt,Remarketing
30/12/2021,158177,158945,311,119,375,,,,12,41,11,,,731.97,KSA,CPC
30/12/2021,207168,208583,464,41,14024,13509,1216,6,1,42,2,3211,,192.11,Egypt,CPMR
30/12/2021,4185,4364,18,14,27,,,,2,6,1,,3,54.39,Egypt,CPA
30/12/2021,6188,6280,7,6,16,,,,3,6,,,,55.55,Egypt,CPA
30/12/2021,72800,73992,10,4,4462,4440,294,,,12,,434,,196.05,KSA,CPMR
29/12/2021,53841,59839,71,8,2940,2836,284,,4,29,,499,,96.61,Egypt,CPC
29/12/2021,27192,28408,37,28,68,,,2,8,17,4,,,152.46,Egypt,CPLPV
29/12/2021,16092,18146,14,3,23,,,,2,7,,,,43.79,Egypt,Remarketing
29/12/2021,142497,147091,283,127,359,,,,11,49,16,,,727.07,KSA,CPC
29/12/2021,81217,83431,175,17,6414,6220,521,4,2,11,2,1416,,99.43,Egypt,CPMR
29/12/2021,6396,6819,15,13,30,,,,4,9,2,,1,72.89,Egypt,CPA
29/12/2021,7504,7630,9,5,22,,,,5,8,,,,74.04,Egypt,CPA
29/12/2021,69713,71934,10,1,4672,4655,297,,1,6,,473,,203.01,KSA,CPMR
28/12/2021,124608,148268,8,,2356,,,18,9,1040,19,,,275.98,Egypt,CPE
28/12/2021,56288,60413,80,8,2887,2771,260,,6,28,2,444,,96.19,Egypt,CPC
28/12/2021,28960,30784,37,20,84,,,7,10,24,6,,,151.37,Egypt,CPLPV
28/12/2021,16772,19013,10,2,23,,,3,,10,,,,42.89,Egypt,Remarketing
28/12/2021,146816,149342,316,144,389,,,,12,48,13,,,713.8,KSA,CPC
28/12/2021,86032,88490,164,20,6485,6295,535,3,4,18,1,1432,,97.2,Egypt,CPMR
28/12/2021,6644,6835,17,11,30,,,,3,8,2,,1,73.65,Egypt,CPA
28/12/2021,7668,7735,15,14,26,,,,1,9,1,,,73.56,Egypt,CPA
28/12/2021,59103,59570,9,3,3734,3715,239,,,10,,362,,200.95,KSA,CPMR
27/12/2021,73184,85456,5,,2319,,,15,5,1392,23,,,273.59,Egypt,CPE
27/12/2021,54176,58555,64,9,2949,2850,302,,4,31,,538,,97.43,Egypt,CPC
27/12/2021,28472,29235,49,32,94,,,2,16,21,6,,2,163.02,Egypt,CPLPV
27/12/2021,17660,19744,7,1,14,,,,1,5,1,,,43.53,Egypt,Remarketing
27/12/2021,156862,162898,351,153,413,,,,16,32,14,,,722.26,KSA,CPC
27/12/2021,71200,73173,126,15,5250,5105,447,3,4,12,,1157,,76.18,Egypt,CPMR
27/12/2021,5752,6092,13,11,27,,,,5,8,1,,5,72.86,Egypt,CPA
27/12/2021,8042,8045,17,14,26,,,,2,7,,,,72.44,Egypt,CPA
27/12/2021,60032,60661,7,3,3848,3837,244,,,4,,388,,196.52,KSA,CPMR
26/12/2021,49121,64284,,,2333,,,12,4,1656,13,,,275.43,Egypt,CPE
26/12/2021,53029,59009,48,4,3181,3098,302,,4,30,1,547,,96.01,Egypt,CPC
26/12/2021,29648,31904,45,26,97,,,2,13,31,6,,1,192.78,Egypt,CPLPV
26/12/2021,16549,18905,13,2,22,,,1,,8,,,,42.96,Egypt,Remarketing
26/12/2021,155080,159104,330,151,416,,,,16,54,16,,,707.23,KSA,CPC
26/12/2021,54128,54199,94,12,4163,4055,322,3,1,8,2,871,,52.83,Egypt,CPMR
26/12/2021,5311,5423,13,10,27,,,,2,10,2,,,72.86,Egypt,CPA
26/12/2021,8200,8363,16,10,31,,,,5,9,1,,,72.46,Egypt,CPA
26/12/2021,68164,68786,16,6,4566,4541,278,,2,7,,441,,196.12,KSA,CPMR
25/12/2021,52867,56827,50,12,3437,3351,350,,7,28,1,607,,96.16,Egypt,CPC
25/12/2021,31027,33454,44,26,92,,,5,9,29,5,,,191.52,Egypt,CPLPV
25/12/2021,16200,18064,15,3,24,,,1,1,6,1,,,42.42,Egypt,Remarketing
25/12/2021,159115,160137,364,174,450,,,,23,52,11,,,761.69,KSA,CPC
25/12/2021,52260,53664,92,11,4043,3936,306,4,,9,2,892,,53.51,Egypt,CPMR
25/12/2021,5512,5890,26,23,44,,,,4,13,1,,1,73.82,Egypt,CPA
25/12/2021,8029,8269,15,11,33,,,,7,9,2,,,74.24,Egypt,CPA
25/12/2021,66307,66847,8,1,4138,4121,280,,2,7,,435,,199.89,KSA,CPMR
24/12/2021,51936,56803,55,11,3624,3532,380,,9,28,,622,,95.66,Egypt,CPC
24/12/2021,28824,30484,57,40,102,,,6,10,22,7,,1,192.07,Egypt,CPLPV
24/12/2021,15604,17608,10,,19,,,1,2,6,,,,42.1,Egypt,Remarketing
24/12/2021,142271,144384,352,170,441,,,,17,63,9,,,728.19,KSA,CPC
24/12/2021,54514,54514,125,7,4202,4065,316,2,1,7,2,898,,53.12,Egypt,CPMR
24/12/2021,5160,5537,20,17,29,,,,2,7,,,,70.27,Egypt,CPA
24/12/2021,7864,8054,16,13,27,,,,6,4,1,,1,72.97,Egypt,CPA
24/12/2021,62574,62574,10,2,3991,3972,287,,,9,,427,,195.49,KSA,CPMR
23/12/2021,71887,98029,7,3,1454,,,6,,427,2,,,265.32,Egypt,CPE
23/12/2021,48176,50877,407,47,4000,3564,513,1,3,23,2,799,1,92.03,Egypt,CPC
23/12/2021,30304,33158,56,35,108,,,8,6,32,6,,,191.78,Egypt,CPLPV
23/12/2021,16220,18241,10,2,23,,,2,3,8,,,,41.7,Egypt,Remarketing
23/12/2021,140160,140499,335,155,418,,,,18,50,15,,1,709.42,KSA,CPC
23/12/2021,55056,55855,96,8,4103,3998,295,1,1,6,1,872,,53.69,Egypt,CPMR
23/12/2021,7572,8625,42,21,54,,,2,2,8,,,1,74.13,Egypt,CPA
23/12/2021,9478,9937,29,14,43,,,,4,10,,,1,75.79,Egypt,CPA
23/12/2021,63408,65033,7,3,4384,4368,274,,,9,,430,,198.85,KSA,CPMR
22/12/2021,71536,92210,22,2,1709,,,6,2,734,2,,,286.37,Egypt,CPE
22/12/2021,36648,42453,949,53,3301,2331,487,2,,19,,713,,98.32,Egypt,CPC
22/12/2021,54288,64801,263,101,326,,,4,10,44,5,,1,193.22,Egypt,CPLPV
22/12/2021,17992,21706,44,17,53,,,2,1,6,,,,41.91,Egypt,Remarketing
22/12/2021,125504,130437,339,145,415,,,,11,47,18,,2,704.06,KSA,CPC
22/12/2021,51069,51069,107,9,3759,3632,277,4,2,14,,807,,51.29,Egypt,CPMR
22/12/2021,8598,11396,49,17,60,,,4,1,4,2,,1,70.48,Egypt,CPA
22/12/2021,8548,9873,38,24,43,,,1,,4,,,2,70.07,Egypt,CPA
22/12/2021,57844,57844,7,1,3834,3816,221,,1,10,,364,,196.83,KSA,CPMR
21/12/2021,40944,54184,7,3,1618,,,11,,1142,3,,,273.31,Egypt,CPE
21/12/2021,37792,43168,945,40,3560,2597,557,3,,14,1,789,,100.82,Egypt,CPC
21/12/2021,85520,136212,605,201,646,,,2,,37,2,,,191.01,Egypt,CPLPV
21/12/2021,15476,25999,139,70,147,,,1,,6,1,,,43.15,Egypt,Remarketing
21/12/2021,125407,126427,359,169,451,,,,19,51,22,,,718.43,KSA,CPC
21/12/2021,54480,55779,107,17,4448,4324,362,5,2,9,1,1006,,55.98,Egypt,CPMR
21/12/2021,9750,12566,54,17,60,,,1,,4,1,,,70.95,Egypt,CPA
21/12/2021,9190,10423,46,23,57,,,6,,5,,,1,69.71,Egypt,CPA
21/12/2021,59972,59972,11,3,3844,3823,280,,1,9,,419,,198.19,KSA,CPMR
20/12/2021,35969,41742,1045,56,3653,2597,587,2,,9,,843,,98.36,Egypt,CPC
20/12/2021,84959,139228,626,179,674,,,10,2,35,1,,,189.5,Egypt,CPLPV
20/12/2021,14820,25840,134,72,138,,,2,1,1,,,,44.33,Egypt,Remarketing
20/12/2021,126144,131932,344,179,427,,,,12,55,16,,,696.32,KSA,CPC
20/12/2021,51344,52723,120,17,4428,4290,363,4,,14,,952,,54,Egypt,CPMR
20/12/2021,10284,13429,74,35,88,,,3,,10,1,,1,68.82,Egypt,CPA
20/12/2021,10507,12246,43,21,46,,,,,3,,,,69.69,Egypt,CPA
20/12/2021,59536,60090,12,5,3869,3848,279,,,8,1,426,,194.94,KSA,CPMR
19/12/2021,39952,44711,1224,52,4627,3398,962,,,5,,1312,,100.95,Egypt,CPC
19/12/2021,86673,131357,584,178,629,,,8,1,33,3,,,193.08,Egypt,CPLPV
19/12/2021,14040,25179,136,79,144,,,,1,7,,,,43.57,Egypt,Remarketing
19/12/2021,123519,131177,339,150,410,,,,10,46,15,,,626.87,KSA,CPC
19/12/2021,52768,52970,120,17,4347,4214,360,3,1,9,,1007,,56.5,Egypt,CPMR
19/12/2021,9324,12280,50,24,60,,,2,,8,,,,70.11,Egypt,CPA
19/12/2021,10304,11777,54,32,59,,,3,,2,,,,70.35,Egypt,CPA
19/12/2021,86304,87167,22,7,5968,5928,379,,1,17,,569,,337.13,KSA,CPMR
18/12/2021,44072,50125,928,30,3422,2478,510,,,16,,926,,99.4,Egypt,CPC
18/12/2021,87824,123847,563,184,612,,,11,2,35,1,,,188.12,Egypt,CPLPV
18/12/2021,13680,23466,145,75,151,,,,,6,,,,44.03,Egypt,Remarketing
18/12/2021,87247,88886,263,112,315,,,,8,33,11,,,464.33,KSA,CPC
18/12/2021,47872,48829,99,5,3810,3691,302,4,3,12,1,851,,52.28,Egypt,CPMR
18/12/2021,9976,12758,51,24,59,,,4,,4,,,,69.33,Egypt,CPA
18/12/2021,10502,12043,38,21,42,,,1,,3,,,,69.02,Egypt,CPA
18/12/2021,112224,114533,23,7,7599,7560,530,,,15,1,813,,493.11,KSA,CPMR
17/12/2021,12612,12915,,,3906,3901,831,,1,4,,1586,,21.65,Egypt,CPE
